Distance,Time,EField
0.534126,103.583,358.82
0.520475,97.6824,373.4
0.449013,70.6348,540.829
0.449078,70.6829,540.507
0.4492,70.6963,539.894
0.449265,70.7176,539.568
0.44932,70.736,539.294
0.449384,70.784,538.973
0.448926,70.6058,541.26
0.422932,62.5244,736.457
0.418047,61.1031,792.752
0.374289,50.096,1339.82
0.374289,50.096,1339.82
0.363891,47.9986,1362.13
0.336214,42.77,1345.49
0.33622,42.7712,1345.46
0.336225,42.7722,1345.44
0.336225,42.7722,1345.45
0.336168,42.7613,1345.66
0.31861,39.5109,1360.87
0.315629,38.9611,1367.33
0.315577,38.9513,1367.68
0.315677,38.9701,1367.04
0.271624,30.8849,1656.7
0.271627,30.8855,1656.67
0.27162,30.8843,1656.72
0.249666,26.357,2568.2
0.247629,25.7473,2938.34
0.24763,25.7475,2938.37
0.252039,26.952,2320.77
0.252079,26.9581,2320.51
0.251985,26.9436,2321.14
0.328966,41.4272,1347.36
0.328979,41.4288,1347.3
0.427056,63.7458,694.484
0.462262,75.1338,486.503
0.462266,75.1356,486.483
0.495133,87.3345,408.531
0.495096,87.3187,408.639
0.495078,87.3114,408.69
0.495189,87.356,408.361
0.620387,145.637,298.045
0.620414,145.651,298.021
0.620354,145.62,298.073
0.622515,146.77,296.961
0.664122,169.735,277.861
0.664117,169.733,277.866
