Distance,Time,EField
0.702588,210.137,263.442
0.702547,210.115,263.466
0.653327,177.205,282.554
0.653366,177.227,282.528
0.653319,177.2,282.561
0.63149,163.545,292.636
0.631481,163.54,292.644
0.500118,94.6636,400.958
0.447117,73.6801,551.465
0.445174,72.9847,561.88
0.394068,56.3639,1137.47
0.384871,53.8436,1253.63
0.308578,38.3582,1389.83
0.305387,37.7772,1401.13
0.270441,31.4222,1673.09
0.270414,31.4173,1673.36
0.270383,31.4115,1673.67
0.257314,28.8661,1983.64
0.257308,28.8649,1983.71
0.24684,26.0764,2878.11
0.247121,25.9232,2808.27
0.24885,26.3048,2538.67
0.250105,26.5807,2409.97
0.250151,26.5878,2409.36
0.250158,26.5889,2409.23
0.317178,39.7103,1368.86
0.317184,39.7116,1368.83
0.323101,40.8652,1358.24
0.323191,40.8826,1357.77
0.32324,40.8922,1357.5
0.323303,40.9044,1357.18
0.323385,40.9204,1356.73
0.323409,40.925,1356.59
0.323039,40.8531,1358.58
0.323636,40.9697,1357.89
0.389065,54.0025,1189.64
0.480486,82.461,438.265
0.494167,88.0163,411.657
0.505338,92.7689,394.084
0.523888,101.06,370.617
0.523916,101.073,370.593
0.523779,101.011,370.754
0.572941,125.228,327.285
0.686754,191.764,269.449
