Distance,Time,EField
0.686601,282.758,269.082
0.61717,212.512,299.736
0.617223,212.565,299.727
0.617312,212.65,299.688
0.617349,212.686,299.671
0.617421,212.755,299.632
0.61745,212.782,299.613
0.617501,212.829,299.579
0.617543,212.871,299.551
0.617548,212.874,299.547
0.600111,196.58,309.21
0.587122,184.83,317.128
0.585592,183.465,318.029
0.585808,183.651,317.763
0.585905,183.737,317.643
0.586086,183.918,317.421
0.586466,184.228,316.955
0.586594,184.354,316.798
0.586718,184.449,316.645
0.586836,184.553,316.5
0.586813,184.533,316.469
0.586569,184.318,316.591
0.586361,184.131,316.695
0.586203,183.99,316.773
0.585879,183.703,316.935
0.585636,183.487,317.057
0.585451,183.323,317.149
0.585204,183.103,317.272
0.584866,182.803,317.437
0.584845,182.786,317.423
0.584783,182.732,317.379
0.58476,182.711,317.363
0.584739,182.693,317.348
0.584723,182.68,317.336
0.584688,182.648,317.31
0.584665,182.627,317.293
0.584629,182.596,317.267
0.584577,182.551,317.279
0.584479,182.467,317.338
0.584191,182.207,317.651
0.58405,182.082,317.805
0.58392,181.967,317.945
0.583757,181.822,318.122
0.583543,181.636,318.355
0.583418,181.525,318.47
0.583579,181.665,318.376
0.583699,181.77,318.302
0.584006,182.042,318.114
0.58444,182.426,317.849
0.584626,182.594,317.735
0.584927,182.859,317.559
0.585043,182.96,317.499
0.585254,183.145,317.389
0.585377,183.257,317.325
0.585497,183.363,317.263
0.585752,183.59,317.13
0.586018,183.828,316.992
0.586287,184.064,316.812
0.586468,184.226,316.678
0.586834,184.552,316.407
0.587126,184.81,316.192
0.58737,185.029,316.012
0.587921,185.519,315.604
0.588165,185.737,315.412
0.588409,185.955,315.221
0.58866,186.179,315.024
0.588804,186.619,314.915
0.589115,186.586,314.698
0.588997,186.481,314.843
0.588923,186.414,314.934
0.588858,186.356,315.015
0.588675,186.193,315.189
0.588624,186.147,315.245
0.588564,186.093,315.309
0.588485,186.024,315.394
0.588493,186.031,315.406
0.588519,186.055,315.407
0.588547,186.079,315.409
0.588626,186.151,315.396
0.58865,186.172,315.4
0.588689,186.208,315.434
0.58874,186.255,315.445
0.588778,186.287,315.434
0.588859,186.362,315.409
0.588901,186.399,315.396
0.588927,186.424,315.453
0.588916,186.415,315.495
0.588903,186.404,315.537
0.588848,186.357,315.593
0.588825,186.335,315.625
0.588802,186.315,315.655
0.588808,186.321,315.689
0.588839,186.351,315.708
0.588926,186.43,315.68
0.588935,186.438,315.691
0.588935,186.438,315.705
0.588943,186.445,315.72
0.588939,186.443,315.747
0.588874,186.386,315.807
0.588835,186.352,315.844
0.58875,186.277,315.909
0.588649,186.187,315.981
0.58861,186.154,316.008
0.588552,186.099,316.048
0.588479,186.034,316.097
0.588411,185.974,316.144
0.582859,181.049,319.878
0.576616,175.576,324.059
0.57113,170.836,327.888
0.569263,169.237,329.252
0.569181,169.169,329.377
0.569178,169.166,329.399
0.569193,169.182,329.409
0.569207,169.193,329.42
0.569154,169.147,329.478
0.569082,169.086,329.547
0.568986,169.005,329.641
0.568896,168.93,329.757
0.568763,168.817,329.895
0.568727,168.787,329.936
0.568703,168.767,329.966
0.56868,168.747,329.994
0.568607,168.687,330.073
0.568586,168.669,330.094
0.560842,162.124,335.525
0.550676,153.74,343.726
0.530271,137.628,362.711
0.526749,134.948,366.449
0.526726,134.93,366.485
0.518757,128.979,375.404
0.512044,124.087,383.682
0.499383,115.177,401.6
0.489404,108.458,418.526
0.478618,101.497,440.776
0.458337,89.3437,500.57
0.446731,83.0011,552.451
0.446705,83.004,552.578
0.442031,80.5744,579.073
0.425318,72.724,711.575
0.413406,68.0168,852.831
0.409236,66.5662,911.838
0.395751,62.5874,1118.82
0.38965,61.0632,1206.34
0.389608,61.0562,1205.87
0.35726,54.7692,1360.95
0.334799,50.8858,1345.61
0.331582,50.3327,1346.28
0.319918,48.3338,1358.49
0.309526,46.5591,1383.67
0.295727,44.2206,1441.63
0.27486,40.7279,1613.34
0.271439,40.1578,1659.53
0.271468,40.1629,1659.22
0.271499,40.1684,1658.9
0.271361,40.1446,1660.19
0.27135,40.1435,1660.05
0.271348,40.1439,1659.98
0.271348,40.144,1659.86
0.27135,40.1443,1659.79
0.27138,40.1479,1659.42
0.271384,40.1489,1659.37
0.262623,38.6877,1829.29
0.2626,38.6835,1829.41
0.262598,38.682,1829.42
0.2627,38.699,1828.19
0.262719,38.7039,1827.69
0.262736,38.7067,1827.25
0.26278,38.7154,1826.09
0.26282,38.7209,1825.03
0.262856,38.728,1824.21
0.262882,38.7314,1823.61
0.262888,38.7328,1823.5
0.257645,37.8372,1990.79
0.252719,36.9464,2259.97
0.252714,36.9452,2259.5
0.252728,36.9485,2258.98
0.252762,36.9543,2257.96
0.252747,36.9524,2257.18
0.252759,36.9539,2257.26
0.252775,36.9562,2260.82
0.252805,36.9647,2261.86
0.252826,36.9643,2262.39
0.252845,36.9679,2263.33
0.252845,36.9673,2263.83
0.252866,36.9707,2263.9
0.250655,36.5389,2449.17
0.253569,37.1058,2202.34
0.273419,40.4881,1631.8
0.300338,44.9998,1418.54
0.300371,45.0072,1418.26
0.300404,45.0115,1417.99
0.300421,45.0147,1417.86
0.300458,45.0208,1417.56
0.300276,44.9891,1419.05
0.306082,45.9735,1395.29
0.361339,55.4875,1362.69
0.393163,61.9153,1157.09
0.420352,70.6624,765.263
0.490119,108.926,417.22
0.525114,133.714,368.183
0.647941,242.618,284.807
0.67764,273.234,272.47
0.677806,273.41,272.407
