Distance,Time,EField
0.701765,418.761,263.915
0.522812,172.156,371.542
0.467841,124.693,470.955
0.459726,118.62,497.934
0.292036,49.0196,1467.52
0.284863,47.548,1518.08
0.277488,46.0353,1586.79
0.251616,38.5255,2286.95
0.255876,39.4076,2039.66
0.257781,39.8128,1963.51
0.286023,46.1276,1508.68
0.309864,51.8388,1388.52
0.321202,54.6445,1361.81
0.341807,59.7699,1350.08
0.36301,64.8432,1355.76
0.363047,64.8523,1355.99
0.363077,64.8593,1356.18
0.363106,64.8666,1356.41
0.363135,64.8738,1356.7
0.36316,64.8802,1357.01
0.363194,64.8888,1357.35
0.36321,64.8928,1357.54
0.36321,64.8932,1357.62
0.387606,70.5183,1212.18
0.387584,70.5141,1211.94
0.387574,70.5121,1211.87
0.398968,73.5002,1056.21
0.405345,75.4236,960.954
0.405741,75.5505,955.119
0.416982,79.568,803.168
0.433827,87.2038,637.874
0.446617,94.2371,556.279
0.463179,104.696,486.683
0.481218,117.565,437.738
0.500846,133.095,401.575
0.523715,152.974,371.463
0.523683,152.954,371.539
0.582529,211.755,321.114
0.598968,229.961,310.793
0.600462,231.65,309.906
0.617134,250.906,300.574
0.631914,268.57,293.032
0.682592,332.659,271.33
0.700198,356.492,264.892
0.704972,363.074,263.233
