Distance,Time,EField
0.697279,187.603,265.218
0.6971,188.417,265.281
0.683582,185.835,270.207
0.679051,184.957,271.927
0.677303,184.622,272.6
0.675973,184.37,273.117
0.670928,183.415,275.105
0.665473,182.383,277.309
0.663637,182.037,278.065
0.633503,176.397,291.504
0.620004,173.9,298.258
0.619994,173.9,298.267
0.619988,173.899,298.273
0.619984,173.898,298.276
0.588399,168.128,316.32
0.588398,168.127,316.322
0.588397,168.127,316.324
0.588389,168.148,316.331
0.588379,168.127,316.335
0.588372,168.122,316.338
0.58837,168.122,316.339
0.574556,165.632,325.479
0.574274,165.582,325.676
0.572371,165.24,327.01
0.571494,165.176,327.632
0.551922,161.6,342.681
0.54115,159.702,352.112
0.535639,158.737,357.333
0.534981,158.674,357.978
0.531129,157.95,361.83
0.515381,155.224,379.475
0.497482,152.166,404.603
0.481923,149.543,433.44
0.475138,148.408,449.091
0.475133,148.409,449.111
0.475133,148.409,449.112
0.457799,145.548,502.614
0.453339,144.817,520.816
0.447826,143.918,546.78
0.433258,141.542,640.229
0.412824,138.112,861.001
0.412841,138.117,861.01
0.412844,138.118,861.064
0.41285,138.121,861.194
0.412855,138.122,861.275
0.412852,138.124,861.45
0.412858,138.128,861.349
0.412799,138.105,861.167
0.412802,138.108,861.368
0.412805,138.15,861.444
0.412812,138.113,861.552
0.41282,138.115,861.64
0.412823,138.118,861.787
0.412823,138.119,861.903
0.412822,137.258,862.036
0.412821,138.119,862.046
0.412548,138.066,864.566
0.403532,135.551,998.359
0.397237,135.187,1096.28
0.393975,134.52,1145.23
0.388208,133.282,1223.36
0.36894,128.62,1356.58
0.366478,127.982,1360.41
0.365299,127.669,1361.53
0.363514,127.202,1362.53
0.358348,125.822,1361.64
0.318113,114.749,1361.84
0.305644,111.281,1396.91
0.294945,108.329,1445.89
0.29083,107.199,1470.54
0.290821,107.196,1470.6
0.290754,107.18,1471.03
0.277252,103.527,1585.43
0.277251,103.526,1585.44
0.276335,103.283,1595.77
0.265917,100.586,1754.77
0.261282,99.4411,1866.83
0.257172,98.4819,2010.5
0.25708,98.46,2014.38
0.250528,97.0582,2463.22
0.25034,97.0181,2484.53
0.247503,96.438,2948.94
0.247499,96.4578,2949.1
0.252003,97.363,2319.68
0.252073,97.3782,2313.8
0.254244,97.8363,2159.13
0.260597,99.2791,1887.24
0.263623,100.011,1805.4
0.266242,100.665,1748.14
0.266816,100.811,1736.96
0.270191,101.677,1678.34
0.272904,102.38,1638.7
0.287535,106.299,1493.13
0.290825,107.197,1470.56
0.291308,107.331,1467.44
0.291331,107.337,1467.23
0.291368,107.348,1466.91
0.291368,107.347,1466.9
0.293531,107.939,1453.96
0.29505,108.357,1445.32
0.303165,110.595,1406.54
0.303102,110.579,1406.68
0.303027,110.557,1406.85
0.302944,110.544,1407.03
0.302897,110.522,1407.13
0.302843,110.508,1407.25
0.302741,110.479,1407.48
0.302684,110.463,1407.61
0.302572,110.432,1407.74
0.302555,110.429,1407.69
0.302534,110.423,1407.62
0.302511,110.417,1407.55
0.302483,110.409,1407.46
0.302469,110.406,1407.41
0.302431,110.396,1407.29
0.302409,110.389,1407.22
0.302368,110.379,1407.1
0.302335,110.369,1407.11
0.302312,110.362,1407.13
0.302308,110.361,1407.15
0.302302,110.36,1407.18
0.302299,110.359,1407.2
0.302341,110.371,1406.9
0.302443,110.399,1406.19
0.302523,110.427,1405.64
0.302642,110.454,1404.82
0.302707,110.471,1404.38
0.302827,110.505,1403.55
0.302915,110.53,1402.95
0.303047,110.567,1402.03
0.303121,110.587,1401.53
0.303325,110.644,1400.08
0.303379,110.66,1399.74
0.303445,110.677,1399.32
0.303499,110.693,1398.97
0.303539,110.703,1398.75
0.303582,110.715,1398.59
0.303609,110.723,1398.48
0.30364,110.731,1398.36
0.303658,110.735,1398.29
0.303683,110.743,1398.2
0.303708,110.749,1398.1
0.303729,110.755,1398.02
0.303763,110.765,1397.89
0.303811,110.778,1397.65
0.303858,110.791,1397.41
0.303916,110.808,1397.11
0.303979,110.825,1396.78
0.30404,110.841,1396.47
0.304085,110.856,1396.24
0.304151,110.875,1395.89
0.304213,110.888,1395.55
0.30428,110.906,1395.18
0.304339,110.924,1394.86
0.304404,110.942,1394.56
0.304464,110.958,1394.32
0.304487,110.965,1394.1
0.30455,110.983,1393.54
0.304633,111.006,1392.79
0.304668,111.016,1392.48
0.304738,111.044,1391.85
0.304809,111.055,1391.19
0.304842,111.063,1390.88
0.304895,111.078,1390.43
0.304958,111.096,1389.92
0.305026,111.114,1389.39
0.305094,111.133,1388.87
0.305149,111.148,1388.44
0.305186,111.172,1388.16
0.305253,111.177,1387.62
0.305327,111.197,1387.01
0.30538,111.211,1386.57
0.305391,111.215,1386.39
0.305397,111.216,1386.25
0.305384,111.213,1386.32
0.305356,111.206,1386.46
0.305335,111.2,1386.57
0.305343,111.202,1386.39
0.305349,111.203,1386.28
0.305355,111.205,1386.18
0.305359,111.206,1386.1
0.305364,111.208,1385.99
0.305368,111.21,1385.92
0.305402,111.218,1385.7
0.305425,110.363,1385.56
0.305498,111.245,1385.18
0.305506,111.248,1385.15
0.305525,111.253,1385
0.305556,111.262,1384.73
0.305568,111.265,1384.59
0.305571,111.266,1384.51
0.30556,111.262,1384.55
0.305541,111.257,1384.6
0.305521,111.252,1384.68
0.305502,111.247,1384.77
0.305476,111.24,1384.91
0.305449,111.232,1385.05
0.30541,111.221,1385.27
0.305387,111.215,1385.41
0.305375,111.211,1385.48
0.305369,111.21,1385.56
0.305368,111.21,1385.59
0.303139,110.588,1406.7
0.303139,110.588,1406.74
0.303139,110.588,1406.77
0.303138,110.588,1406.81
0.303137,110.587,1406.85
0.303137,110.587,1406.87
0.303139,110.588,1406.86
0.30314,110.596,1406.85
0.303141,110.588,1406.85
0.303159,110.593,1406.64
0.30315,110.591,1406.74
0.303145,110.589,1406.81
0.303136,110.587,1406.93
0.303131,110.589,1406.99
0.303128,110.584,1407.04
0.303127,110.584,1407.08
0.303137,110.587,1407.05
0.303142,110.588,1407.03
0.303142,110.588,1407.03
0.303656,110.732,1404.56
0.309135,112.248,1384.91
