Distance,Time,EField
0.692152,449.446,267.738
0.677623,432.197,273.216
0.672444,426.286,275.259
0.669891,423.407,276.286
0.669898,423.5,276.285
0.669897,423.498,276.286
0.669895,423.409,276.287
0.669892,423.404,276.289
0.669889,423.485,276.291
0.669891,423.49,276.288
0.669899,423.498,276.286
0.668135,421.451,276.997
0.659531,412.011,280.582
0.653517,405.576,283.181
0.65266,404.669,283.557
0.646597,398.33,286.269
0.631875,383.435,293.221
0.625252,376.951,296.533
0.625251,376.951,296.533
0.603507,356.519,308.341
0.593072,347.159,314.587
0.593079,347.174,314.579
0.593076,347.168,314.58
0.575277,331.827,326.307
0.574865,331.48,326.595
0.568007,325.794,331.548
0.552519,313.44,343.781
0.543332,306.503,351.867
0.531105,297.984,363.826
0.525149,294.349,370.254
0.498566,231.315,403.493
0.498575,231.333,403.469
0.498587,231.359,403.442
0.498597,231.382,403.417
0.498602,231.394,403.405
0.498608,231.407,403.393
0.498532,231.235,403.583
0.498506,231.173,403.627
0.498474,231.095,403.687
0.498456,231.056,403.734
0.498442,231.022,403.773
0.498437,231.014,403.791
0.498434,231.009,403.801
0.49843,231.001,403.813
0.49843,230.998,403.814
0.474078,197.72,452.667
0.473167,196.869,455.016
0.471301,195.16,460.001
0.465225,189.9,477.831
0.449558,177.774,539.314
0.428736,163.485,679.297
0.427203,162.493,693.464
0.423028,159.826,735.344
0.418808,157.201,782.734
0.403591,148.551,993
0.40073,147.104,1036.78
0.400415,146.947,1041.76
0.400094,146.791,1046.6
0.399133,146.319,1061.31
0.39819,145.871,1075.66
0.396276,144.973,1103.88
0.396223,144.953,1103.59
0.396171,144.924,1103.85
0.396137,144.909,1104.07
0.396124,144.905,1104.18
0.396161,144.924,1103.92
0.396242,144.958,1103.38
0.396306,144.987,1102.94
0.396335,145,1102.75
0.396392,145.026,1102.38
0.396437,145.044,1102.16
0.396477,145.066,1101.74
0.3965,145.077,1101.59
0.396521,145.085,1101.45
0.396543,145.096,1101.3
0.396592,145.118,1101.03
0.396629,145.137,1100.83
0.396667,145.153,1100.67
0.396689,145.163,1100.65
0.396711,145.173,1100.63
0.396741,145.187,1100.57
0.396747,145.19,1100.62
0.396747,145.19,1100.65
0.39633,144.999,1104.08
0.396398,145.031,1103.68
0.396426,145.042,1103.4
0.396455,145.052,1103.23
0.396459,145.057,1103.15
0.396486,145.07,1102.93
0.39649,145.071,1102.88
0.390306,142.334,1188.94
0.388614,141.632,1210.47
0.385439,140.349,1247.52
0.36696,133.672,1355.61
0.359317,131.137,1360.1
0.35932,131.138,1360.08
0.359339,131.144,1360.13
0.359357,131.156,1360.2
0.359378,131.157,1360.26
0.359392,131.162,1360.31
0.359402,131.165,1360.35
0.359416,131.169,1360.41
0.359416,131.171,1360.43
0.358504,130.872,1359.9
0.350289,128.23,1354.68
0.344716,126.47,1350.56
0.338291,124.459,1347.73
0.328939,121.561,1350.02
0.328567,121.447,1350.29
0.322293,119.519,1357.34
0.318834,118.457,1363.23
0.315827,117.54,1369.52
0.305694,114.456,1399.6
0.305207,114.31,1401.35
0.305217,114.314,1401.27
0.293942,110.912,1454.14
0.293935,110.908,1454.2
0.293935,110.911,1454.2
0.293942,110.911,1454.12
0.293929,110.907,1454.21
0.293909,110.902,1454.31
0.293902,110.899,1454.39
0.29389,110.898,1454.47
0.293875,110.89,1454.58
0.293854,110.886,1454.69
0.293847,110.881,1454.78
0.293839,110.879,1454.84
0.293826,110.876,1454.94
0.289283,109.518,1483.02
0.288698,109.344,1486.97
0.284013,107.947,1522.19
0.281453,107.189,1544.22
0.281348,107.16,1545.13
0.28025,106.835,1555.37
0.263966,102.127,1789.02
0.263962,102.127,1789.1
0.26395,102.122,1789.28
0.26394,102.12,1789.5
0.263946,102.121,1789.5
0.263958,102.127,1789.48
0.263971,102.132,1789.4
0.263982,102.138,1789.35
0.263992,102.14,1789.29
0.264,102.145,1789.26
0.263952,102.122,1789.15
0.263938,102.121,1789.24
0.263934,102.116,1789.21
0.263937,102.116,1789.12
0.263942,102.117,1788.95
0.263944,102.12,1788.87
0.263947,102.119,1788.78
0.26395,102.119,1788.65
0.26395,102.118,1788.64
0.259335,100.837,1910.81
0.259335,100.838,1910.8
0.256812,100.147,1999.95
0.256714,100.122,2004.22
0.256749,100.135,2003.93
0.256774,100.145,2003.73
0.25679,100.151,2003.6
0.256817,100.164,2003.38
0.256827,100.165,2003.35
0.256844,100.173,2003.49
0.25687,100.184,2003.69
0.256886,100.194,2003.83
0.256924,100.208,2004.12
0.256945,100.217,2004.3
0.256971,100.229,2004.5
0.257002,100.242,2004.75
0.256999,100.244,2005.28
0.256973,100.237,2006.45
0.256973,100.238,2006.82
0.256961,100.236,2007.66
0.256955,100.235,2008.06
0.256969,100.24,2007.88
0.257006,100.253,2007.11
0.257069,100.274,2005.83
0.257138,100.298,2004.43
