Distance,Time,EField
0.706476,382.224,262.037
0.704313,379.365,262.773
0.692956,364.546,266.759
0.648633,308.933,284.498
0.645019,304.58,286.122
0.638897,297.272,288.942
0.624129,279.969,296.138
0.611592,265.663,302.729
0.606081,259.481,305.781
0.606082,259.482,305.779
0.606102,259.5,305.765
0.606122,259.532,305.748
0.60613,259.532,305.741
0.606115,259.51,305.75
0.606103,259.504,305.757
0.606106,259.51,305.755
0.605329,258.64,306.204
0.605343,258.655,306.189
0.605343,258.658,306.183
0.605338,258.649,306.175
0.605331,258.646,306.176
0.605307,258.613,306.194
0.605279,258.591,306.215
0.605261,258.57,306.227
0.605248,258.551,306.237
0.60524,258.542,306.244
0.603835,256.991,307.058
0.597335,249.824,310.846
0.592669,244.75,313.663
0.584584,236.082,318.759
0.569281,220.115,329.213
0.569294,220.116,329.198
0.569305,220.129,329.187
0.569333,220.166,329.163
0.569301,220.123,329.205
0.569305,220.139,329.199
0.569302,220.132,329.198
0.569299,220.13,329.196
0.569294,220.123,329.194
0.569292,220.12,329.193
0.569293,220.116,329.19
0.569301,220.129,329.181
0.569305,220.134,329.176
0.564337,215.069,332.864
0.542545,193.672,350.838
0.54121,192.393,352.06
0.536694,188.145,356.311
0.527101,179.296,366.036
0.517397,170.621,377.022
0.485913,144.427,425.219
0.460407,125.605,492.964
0.453597,120.972,519.7
0.45203,119.939,526.607
0.445315,115.595,560.084
0.435035,109.354,626.458
0.435032,109.341,626.476
0.435025,109.346,626.511
0.435012,109.332,626.591
0.435002,109.324,626.655
0.434984,109.313,626.776
0.435071,109.362,626.245
0.435106,109.381,626.022
0.435131,109.392,625.868
0.435164,109.415,625.658
0.435181,109.421,625.531
0.43521,109.446,625.309
0.435234,109.455,625.13
0.435243,109.474,625.062
0.431522,107.275,654.41
0.431104,107.087,657.966
0.417464,99.9185,799.907
0.405292,94.5034,970.985
0.405288,94.4959,970.971
0.40532,94.514,970.675
0.405334,94.5291,970.45
0.405348,94.5284,970.236
0.405357,94.5413,970.101
0.405366,94.5315,969.987
0.40537,94.5338,969.95
0.405374,94.5411,969.916
0.405378,94.5362,969.923
0.397834,91.6739,1087.06
0.394907,90.6642,1131.49
0.375601,85.1099,1333.48
0.375597,85.0965,1333.46
0.375622,85.1043,1333.7
0.375639,85.1153,1333.93
0.375674,85.1129,1334.45
0.375693,85.1203,1334.71
0.37571,85.1184,1334.93
0.375718,85.1256,1335.06
0.375723,85.1238,1335.16
0.37264,84.3649,1346.38
0.362115,81.8925,1362.78
0.349505,79.0657,1353.96
0.349499,79.061,1353.96
0.349511,79.0632,1353.96
0.349507,79.0595,1353.96
0.349508,79.0636,1353.97
0.349498,79.0587,1353.98
0.349494,79.0597,1353.98
0.349494,79.0662,1353.98
0.347194,78.5594,1351.79
0.343487,77.7405,1348.76
0.326559,74.0306,1349.58
0.326558,74.0444,1349.59
0.326546,74.0335,1349.58
0.32183,73.0018,1355.4
0.318193,72.2118,1361.66
0.300317,68.3676,1418.83
0.297015,67.6657,1434.84
0.289252,66.0378,1481.06
0.289245,66.029,1481.13
0.289291,66.0431,1480.76
0.289292,66.0378,1480.79
0.289281,66.0398,1480.92
0.289272,66.0356,1481.01
0.289262,66.0324,1481.11
0.289249,66.0285,1481.24
0.289226,66.025,1481.44
0.289214,66.0271,1481.55
0.289213,66.0225,1481.57
0.288572,65.8883,1485.73
0.275117,63.1434,1610.21
0.274626,63.0409,1616.27
0.27464,63.0434,1616.12
0.27465,63.0452,1615.98
0.274654,63.0478,1615.92
0.274665,63.0525,1615.8
0.274658,63.0522,1615.89
0.274646,63.0443,1616.05
0.274637,63.0434,1616.18
0.274633,63.0489,1616.24
0.274614,63.0448,1616.5
0.274606,63.0401,1616.6
0.274591,63.0514,1616.79
0.274583,63.0327,1616.9
0.274578,63.0318,1616.98
0.274576,63.0324,1617.02
0.274641,63.0439,1616.14
0.274656,63.0485,1615.99
0.274683,63.0546,1615.71
0.274697,63.0557,1615.56
0.274681,63.0525,1615.73
0.274663,63.0564,1615.93
0.274652,63.0445,1616.06
0.274642,63.0448,1616.16
0.274635,63.0425,1616.24
0.270239,62.178,1677.58
0.265866,61.328,1755.76
0.265722,61.3111,1758.98
0.265744,61.3141,1758.73
0.265741,61.311,1758.75
0.265738,61.3053,1758.76
0.265734,61.3059,1758.77
0.263559,60.8955,1806.77
0.263558,60.8955,1806.78
0.258948,60.135,1941.43
0.254852,59.3424,2123.55
0.254191,59.2353,2162.15
0.25416,59.2301,2164.21
0.251663,58.8229,2349.31
0.249822,58.5239,2547.67
0.249082,58.4071,2651.47
0.247558,58.1613,2936.15
0.247501,58.1561,2949.45
0.247515,58.165,2948.81
0.247547,58.1726,2939.07
0.247687,58.1841,2906.31
0.248952,58.385,2671.5
0.250226,58.587,2496.97
0.250227,58.5938,2496.76
0.250227,58.5873,2496.58
0.250228,58.5873,2496.5
0.251159,58.7377,2397.52
0.25167,58.818,2348.96
0.256802,59.6788,2026.18
0.259482,60.1436,1922.88
0.26108,60.4374,1872.5
0.263396,60.8649,1810.88
0.271856,62.4914,1653.35
0.271995,62.5175,1651.33
0.274994,63.1183,1611.71
0.278475,63.8115,1572.27
0.280036,64.1013,1556.49
0.28095,64.3179,1547.71
0.285028,65.1639,1512.28
0.288005,65.7708,1489.74
0.291109,66.4191,1468.77
0.292148,66.637,1462.25
0.292515,66.7254,1460
0.307178,69.8323,1391.41
0.309276,70.2844,1384.46
0.324302,73.5403,1352.01
0.325633,73.8313,1350.5
0.33735,76.3929,1345.84
0.338854,76.7307,1346.44
0.338797,76.7076,1346.62
0.338774,76.6995,1346.68
0.338751,76.6969,1346.75
0.338724,76.696,1346.83
0.338674,76.6738,1346.96
0.338665,76.6863,1346.98
0.338653,76.6755,1346.99
0.33865,76.6786,1347
0.369011,83.49,1356.45
0.375213,85.0026,1335.5
0.377403,85.5578,1323.53
0.381803,86.7211,1290.94
0.387278,88.2741,1234.54
0.387277,88.2686,1234.53
0.387268,88.2765,1234.54
0.388929,88.766,1214.37
