Distance,Time,EField
0.705035,474.981,262.589
0.698126,462.243,264.986
0.690324,448.183,267.784
0.690323,448.183,267.784
0.668237,410.035,276.273
0.640585,365.393,288.268
0.633867,355.034,291.449
0.63288,353.53,291.926
0.618947,332.694,298.943
0.6158,328.094,300.607
0.608387,317.421,304.647
0.607364,315.966,305.219
0.600558,306.388,309.114
0.599785,305.311,309.562
0.599792,305.318,309.554
0.599794,305.32,309.552
0.579869,278.405,322.072
0.57986,278.393,322.079
0.57985,278.382,322.084
0.57643,273.921,324.402
0.546737,237.155,347.42
0.535777,224.477,357.569
0.523121,210.443,370.84
0.523108,210.428,370.865
0.523105,210.424,370.872
0.511961,198.605,384.32
0.508098,194.623,389.479
0.50614,192.627,392.207
0.485437,172.46,427.006
0.468467,157.175,468.132
0.462141,151.758,488.159
0.456899,147.379,507.446
0.456903,147.383,507.429
0.456905,147.385,507.422
0.449073,141.017,542.065
0.447456,139.732,550.232
0.444914,137.74,563.827
0.43428,129.607,633.816
0.409062,111.976,913.346
0.400769,106.781,1038.41
0.393333,102.494,1149.46
0.389189,100.29,1205.81
0.38933,100.348,1205.9
0.389371,100.365,1206.06
0.389383,100.369,1206.3
0.3894,100.378,1206.97
0.389415,100.378,1207.28
0.389424,100.383,1207.28
0.389435,100.393,1207.15
0.389453,100.402,1207.02
0.389479,100.413,1207.09
0.389494,100.418,1207.31
0.3895,100.421,1207.39
0.389507,100.424,1207.48
0.389175,100.283,1206.01
0.389183,100.286,1206.29
0.389157,100.271,1206.84
0.389154,100.263,1207.08
0.389154,100.268,1207.2
0.389169,100.274,1207.29
0.389165,100.272,1207.31
0.389162,100.27,1207.31
0.387147,99.2656,1229.93
0.3819,96.7772,1283.92
0.381914,96.7869,1283.92
0.381932,96.7947,1283.94
0.381954,96.8031,1283.88
0.381979,96.8109,1283.73
0.381987,96.8144,1283.65
0.381981,96.8161,1283.52
0.381984,96.8178,1283.44
0.379026,95.5199,1306.5
0.361857,89.1655,1360.07
0.357685,87.8493,1359.53
0.334588,81.3495,1347.67
0.334591,81.348,1347.7
0.313484,75.9511,1375.66
0.31348,75.9488,1375.69
0.308229,74.6462,1391.15
0.302957,73.3507,1410.74
0.28742,69.5879,1496.87
0.28663,69.399,1502.67
0.278316,67.4242,1575.68
0.277582,67.2488,1583.38
0.277562,67.2435,1583.58
0.27605,66.8887,1600.29
0.274413,66.5036,1619.69
0.273585,66.3099,1630.1
0.27361,66.3172,1629.84
0.273628,66.3209,1629.64
0.273642,66.3244,1629.49
0.273658,66.329,1629.32
0.27367,66.3332,1629.19
0.269742,65.4096,1684.23
0.269748,65.4113,1684.15
0.269739,65.4086,1684.21
0.269735,65.4072,1684.24
0.269738,65.4082,1684.21
0.269728,65.4052,1684.33
0.269716,65.4022,1684.46
0.265908,64.5172,1751.07
0.265476,64.417,1759.58
0.258766,62.8568,1932.67
0.249995,60.7204,2434.03
0.249496,60.5805,2487.3
0.247881,60.0783,2697.92
0.246573,59.3324,2924.07
0.246906,59.2661,2849.1
0.247438,59.2803,2748.24
0.247644,59.2962,2713.14
0.24955,59.5423,2459.77
0.25115,59.8119,2311.15
0.253155,60.1827,2170.61
0.25402,60.3506,2122.29
0.255523,60.6511,2047.62
0.257794,61.1269,1956.7
0.265789,62.931,1748.69
0.269219,63.7478,1689.26
0.269218,63.7475,1689.29
0.26922,63.748,1689.28
0.270378,64.0273,1671.6
0.271866,64.3892,1650.47
0.271862,64.3884,1650.5
0.271878,64.3923,1650.34
0.277715,65.8429,1580.78
0.277774,65.8568,1580.19
0.277822,65.8692,1579.71
0.277792,65.862,1580
0.277784,65.8597,1580.08
0.277772,65.8568,1580.2
0.277764,65.8545,1580.29
0.277751,65.8524,1580.42
0.27776,65.8534,1580.33
0.277739,65.8485,1580.54
0.277725,65.8454,1580.69
0.277753,65.853,1580.4
0.277772,65.8568,1580.2
0.277791,65.8611,1580.01
0.277824,65.8706,1579.67
0.277855,65.8776,1579.34
0.27787,65.8811,1579.19
0.277883,65.8847,1579.06
0.277912,65.8915,1578.76
0.277934,65.8976,1578.54
0.277944,65.9007,1578.44
0.277952,65.9017,1578.36
0.277967,65.9063,1578.21
0.277971,65.9065,1578.17
0.284367,67.5429,1520.07
0.284424,67.557,1519.53
0.284449,67.563,1519.29
0.284504,67.5763,1518.78
0.284518,67.5798,1518.66
0.284527,67.582,1518.58
0.284532,67.5833,1518.53
0.284535,67.583,1518.51
0.284762,67.6455,1517.01
0.284752,67.6433,1517.11
0.299714,71.6144,1426.28
0.309802,74.3753,1387.98
0.330693,80.2081,1351.09
0.336349,81.7906,1349.32
0.35393,86.6341,1356.31
0.353939,86.6335,1356.3
0.35393,86.6336,1356.3
0.353941,86.6347,1356.3
0.353913,86.6261,1356.19
0.353895,86.6205,1356.13
0.353876,86.6153,1356.08
0.353858,86.6103,1356.03
0.353846,86.6069,1356
0.353845,86.6067,1356
0.374813,92.186,1321.23
0.383497,94.564,1254.4
0.401309,100.231,1015.97
0.401301,100.226,1016.29
0.4013,100.225,1016.39
0.4013,100.225,1016.49
0.401312,100.224,1016.61
0.401301,100.223,1016.72
0.401327,100.238,1015.63
0.40133,100.242,1015.22
0.401341,100.248,1014.81
0.40135,100.253,1014.55
0.401365,100.256,1014.53
0.401373,100.26,1014.52
0.401392,100.261,1014.51
0.401392,100.263,1014.49
0.401399,100.265,1014.47
0.412768,104.865,852.324
0.42971,113.512,668.513
0.473437,144.492,455.45
0.474586,145.44,452.511
0.488301,157.275,422.449
0.510508,178.108,387.156
0.511913,179.492,385.301
0.519199,186.793,376.225
0.519874,187.479,375.424
0.521235,188.868,373.832
0.53176,199.839,362.365
0.531762,199.841,362.362
0.531768,199.846,362.351
0.531774,199.854,362.347
0.539929,208.622,354.324
0.55161,221.582,343.908
0.551613,221.587,343.908
0.551614,221.588,343.908
0.553847,224.115,342.03
0.555445,225.936,340.722
0.555436,225.929,340.733
0.555402,225.891,340.773
0.556433,227.064,339.912
0.562519,234.092,335.106
0.570336,243.29,329.273
0.575788,249.82,325.406
0.578155,252.681,323.776
0.585729,261.958,318.74
0.598714,278.255,310.688
0.61578,300.421,301.066
0.620913,307.247,298.359
0.620912,307.247,298.36
0.620905,307.237,298.366
0.620888,307.216,298.378
0.620882,307.207,298.383
0.620924,307.262,298.352
0.620937,307.281,298.345
0.620949,307.295,298.342
0.620956,307.306,298.342
0.620958,307.31,298.342
0.620966,307.321,298.343
0.620967,307.324,298.344
0.620969,307.327,298.344
0.625447,313.339,296.033
0.641208,334.95,288.382
0.649129,346.065,284.773
0.657732,358.322,281.015
0.665493,369.542,277.761
0.667808,372.921,276.814
0.673425,381.173,274.559
0.679545,390.255,272.17
0.698069,418.314,265.338
