Distance,Time,EField
0.699884,416.845,264.304
0.695551,411.475,265.83
0.690616,405.371,267.606
0.684423,397.776,269.893
0.684422,397.775,269.893
0.674658,385.916,273.631
0.663842,372.958,277.98
0.643636,349.241,286.752
0.64191,347.248,287.543
0.640343,345.441,288.268
0.635241,339.588,290.671
0.613757,315.417,301.557
0.606068,306.965,305.791
0.597851,298.045,310.541
0.586342,285.763,317.625
0.560055,258.656,336.134
0.559649,258.25,336.451
0.549094,247.757,345.069
0.549091,247.756,345.072
0.549046,247.71,345.12
0.549022,247.686,345.145
0.548997,247.662,345.174
0.548986,247.651,345.19
0.548962,247.628,345.222
0.548942,247.609,345.248
0.548927,247.593,345.267
0.548912,247.578,345.284
0.548896,247.564,345.301
0.548882,247.55,345.315
0.548869,247.536,345.328
0.548855,247.523,345.343
0.548847,247.516,345.351
0.548847,247.515,345.352
0.538544,237.501,354.546
0.536814,235.84,356.195
0.536299,235.348,356.693
0.530596,229.927,362.376
0.509918,210.867,386.464
0.509107,210.141,387.545
0.498639,200.871,402.765
0.493694,196.579,410.89
0.492609,195.646,412.767
0.484762,188.97,427.523
0.48253,187.098,432.144
0.455908,165.652,510.053
0.453955,164.149,518.165
0.443682,156.361,569.288
0.431065,147.154,658.272
0.419966,139.41,769.75
0.410784,133.317,889.299
0.407612,131.29,935.899
0.405055,129.69,974.762
0.401542,127.545,1029.4
0.398677,125.847,1074.11
0.373248,113.027,1344.12
0.370652,111.914,1352.61
0.368728,111.105,1357.01
0.367627,110.647,1358.89
0.363877,109.113,1362.4
0.356866,106.324,1360.66
0.356866,106.324,1360.66
0.356853,106.319,1360.68
0.356833,106.311,1360.71
0.356824,106.307,1360.73
0.356811,106.301,1360.74
0.356805,106.3,1360.76
0.3568,106.297,1360.8
0.356799,106.297,1360.82
0.356103,106.024,1360.09
0.326139,94.5391,1349.99
0.324762,94.015,1351.46
0.321585,92.8136,1355.74
0.315719,90.5969,1366.95
0.311862,89.1438,1376.73
0.311866,89.1448,1376.7
0.311866,89.1451,1376.7
0.305354,86.6986,1397.98
0.293748,82.3642,1452.69
0.29302,82.0956,1456.97
0.292427,81.8731,1460.54
0.290827,81.2788,1470.56
0.285998,79.4843,1504.65
0.256732,68.4646,2029.6
0.252587,66.7301,2272.37
0.251924,66.4358,2326.59
0.247747,64.3631,2891.21
0.247734,64.3591,2891.06
0.247725,64.357,2890.95
0.247714,64.3526,2890.82
0.247713,64.3534,2890.81
0.247711,64.3388,2902.02
0.247733,64.3555,2896.06
0.248745,64.9099,2704.31
0.249309,65.1988,2617.6
0.258432,69.1431,1960.66
0.25845,69.149,1960.46
0.258473,69.1562,1960.3
0.258487,69.1607,1960.22
0.258495,69.1638,1960.18
0.258511,69.1685,1960.13
0.258524,69.1724,1960.12
0.258531,69.1748,1960.12
0.258534,69.1753,1960.27
0.258535,69.1752,1960.33
0.258536,69.1753,1960.38
0.258537,69.1755,1960.45
0.258538,69.1756,1960.5
0.258538,69.1758,1960.56
0.258407,69.1343,1960.92
0.258393,69.129,1961.03
0.258368,69.1215,1961.24
0.258358,64.308,1961.32
0.258352,69.1151,1961.38
0.258346,69.1147,1961.29
0.258345,69.1131,1961.26
0.258344,69.113,1961.23
0.26592,72.0168,1754.67
0.270681,73.8056,1670.74
0.272237,74.3843,1647.9
0.272942,74.6463,1638.18
0.276291,75.8889,1596.29
0.277534,76.3497,1582.34
0.281111,77.6749,1546.2
0.289816,80.9029,1477.2
0.310276,88.547,1381.38
0.321337,92.719,1356.15
0.321335,92.7175,1356.16
0.321332,92.7195,1356.1
0.321319,92.713,1356.06
0.321273,92.6952,1356.2
0.321237,92.6806,1356.33
0.321224,92.6764,1356.38
0.321208,92.6701,1356.44
0.321199,92.6667,1356.47
0.331939,96.7407,1346.14
0.347903,102.843,1352.43
0.362508,108.562,1362.74
0.366144,110.037,1360.78
0.378993,115.593,1312.96
0.387218,119.576,1235.27
0.389183,120.59,1211.16
0.392908,122.583,1160.57
0.401539,127.543,1029.44
0.434512,149.629,630.453
0.434757,149.807,628.586
0.445988,158.086,556.42
0.449225,160.528,539.79
0.449625,160.833,537.842
0.469819,176.653,463.142
0.486348,190.307,424.361
0.496681,199.162,405.902
0.497209,199.623,405.046
0.502593,204.343,396.727
0.503033,204.731,396.079
0.513129,213.764,382.294
0.51712,217.401,377.358
0.523909,223.661,369.511
0.524479,224.193,368.88
0.530731,230.056,362.239
0.535867,234.936,357.111
0.55145,250.08,343.075
0.569746,268.494,328.883
0.570885,269.662,328.058
0.570893,269.669,328.048
0.570899,269.677,328.039
0.571605,270.402,327.553
0.592414,292.213,313.82
0.610446,311.764,303.356
0.613345,314.962,301.779
0.622911,325.62,296.758
0.65092,357.714,283.485
0.654517,361.931,281.917
0.674238,385.411,273.796
0.695579,411.499,265.819
0.695582,411.503,265.817
0.695584,411.505,265.814
0.695585,411.507,265.813
0.695585,411.506,265.812
0.695586,411.508,265.812
0.70216,419.683,263.513
