Distance,Time,EField
0.686461,1018.87,269.132
0.668244,951.881,276.182
0.66607,944.001,277.066
0.662265,930.267,278.633
0.657481,913.114,280.646
0.625806,802.66,295.289
0.594896,700.369,312.311
0.591187,688.474,314.581
0.589641,683.541,315.539
0.58123,656.955,320.952
0.560043,591.973,336.143
0.558167,586.362,337.614
0.536464,523.13,356.533
0.536383,522.904,356.612
0.523562,487.105,369.896
0.515076,464.022,379.853
0.46537,339.737,476.356
0.454849,315.931,514.393
0.44099,285.987,585.497
0.433945,271.449,634.826
0.422577,249.013,740.298
0.421647,247.245,750.551
0.417591,239.639,798.364
0.417594,239.643,798.361
0.410287,226.559,896.545
0.305803,122.865,1396.32
0.301814,119.853,1412.21
0.299011,117.74,1424.93
0.277343,101.503,1584.42
0.274176,99.118,1621.94
0.271283,96.927,1661.61
0.271249,96.9028,1661.96
0.271297,96.9349,1661.46
0.271285,96.9253,1661.7
0.264909,92.0021,1776.03
0.260654,88.5994,1885.4
0.25519,83.9387,2104.8
0.254624,83.4231,2136.34
0.252431,81.344,2284.6
0.251524,80.4323,2362.51
0.251035,79.926,2409.21
0.248827,77.416,2696.74
0.248829,77.4149,2697.09
0.248821,77.4098,2697.16
0.248814,77.4076,2697.15
0.248808,77.4052,2697.14
0.248806,77.4045,2697.14
0.248055,76.4513,2833.56
0.248056,76.5451,2833.57
0.2475,75.7331,2949.74
0.247509,75.7357,2947.78
0.247671,76.0153,2910.36
0.248116,76.5599,2814.71
0.248258,76.7304,2790.73
0.260064,88.1156,1903.74
0.264498,91.6825,1785.06
0.270524,96.3474,1673.21
0.271348,96.9746,1660.7
0.274761,99.5583,1614.59
0.27715,101.358,1586.56
0.278295,102.234,1574.18
0.281321,104.487,1544.24
0.281436,104.586,1543.18
0.285542,107.644,1508.2
0.289856,110.873,1476.94
0.301706,119.77,1412.67
0.302188,120.134,1410.61
0.304351,121.77,1401.89
0.348628,155.896,1353.1
0.348647,155.911,1353.1
0.348653,155.919,1353.1
0.355985,161.797,1359.99
0.410417,226.785,894.697
0.414845,234.631,833.504
0.417135,238.82,804.009
0.456428,319.46,507.968
0.458847,324.88,498.64
0.504645,436.394,393.755
0.504634,436.365,393.783
0.511497,454.449,384.372
0.511515,454.5,384.329
0.51153,454.537,384.294
0.511537,454.56,384.277
0.546392,551.664,347.406
0.547682,555.417,346.284
0.556336,580.908,339.073
0.582004,659.383,320.44
0.654183,901.36,282.061
