Distance,Time,EField
0.688173,1055.62,268.542
0.683461,1037.46,270.299
0.670884,989.601,275.18
0.669975,986.216,275.538
0.669341,983.834,275.793
0.643776,889.539,286.762
0.569853,639.53,328.978
0.546646,568.51,347.434
0.48982,411.378,418.377
0.467863,357.467,469.363
0.459675,338.241,496.228
0.448389,312.601,544.489
0.422848,258.512,736.315
0.399686,215.683,1052.01
0.392876,205.01,1153.28
0.383769,192.483,1264.48
0.383188,191.753,1270.16
0.374396,181.602,1332.88
0.367919,175.032,1353.87
0.353036,161.775,1356.81
0.34204,152.833,1349.1
0.342018,152.815,1349.15
0.341996,152.797,1349.19
0.341989,152.791,1349.21
0.342071,152.859,1349.02
0.342061,152.853,1348.96
0.342064,152.856,1348.89
0.342041,152.838,1348.83
0.342026,152.826,1348.81
0.342052,152.847,1348.82
0.342137,152.913,1348.91
0.342164,152.935,1348.94
0.342185,152.951,1348.97
0.342208,152.969,1349
0.342227,152.985,1349.03
0.342241,152.995,1349.05
0.342251,153.003,1349.06
0.305903,125.075,1398.88
0.30304,122.933,1409.95
0.299425,120.237,1425.77
0.285555,109.953,1510.08
0.282964,108.037,1531.13
0.278464,104.703,1573.2
0.263128,93.0635,1808.63
0.255388,86.6075,2064.42
0.25541,86.6202,2064.23
0.255429,86.6317,2064.05
0.255345,86.5813,2064.88
0.254922,86.1989,2085.37
0.251954,83.3829,2261.75
0.24737,77.9508,2772.21
0.246503,76.2392,2927.77
0.255596,84.5722,2043.15
0.255636,84.5944,2042.73
0.255648,84.6009,2042.6
0.256337,85.2098,2010.83
0.26147,89.4455,1843.87
0.265575,92.7188,1751.9
0.270089,96.2541,1675.08
0.273482,98.8867,1628.57
0.276857,101.497,1589.22
0.290238,111.835,1477.52
0.298812,118.506,1430.07
0.308409,126.039,1392.06
0.308928,126.449,1390.4
0.315558,131.694,1372.29
0.343283,153.841,1350.79
0.350594,159.736,1354.71
0.350593,159.736,1354.7
0.365155,171.825,1352.51
0.37225,178.15,1332.75
0.403688,216.013,977.807
0.411236,228.155,870.147
0.415746,235.898,811.858
0.421909,246.997,741.163
0.425482,253.677,705.071
0.439921,282.282,591.629
0.472495,354.791,457.326
0.472497,354.795,457.322
0.500846,425.368,400.766
0.523373,486.177,371.221
0.556312,581.827,339.884
0.559961,592.887,336.973
0.568282,618.467,330.644
0.576385,643.776,324.872
0.581739,660.739,321.246
0.603402,731.207,307.839
0.606846,742.662,305.876
0.623496,799.068,296.931
0.648956,888.445,284.762
0.649489,890.36,284.524
0.652147,899.894,283.348
