Distance,Time,EField
0.617777,587.452,299.497
0.596964,547.341,311.175
0.539604,444.103,353.783
0.532093,431.412,361.109
0.48278,352.927,432.213
0.470692,334.946,461.417
0.458365,317.063,501.275
0.458366,317.065,501.269
0.41506,257.565,828.787
0.383103,219.972,1271.36
0.367113,205.561,1355.4
0.330206,177.633,1349.21
0.298162,154.804,1432.01
0.266906,132.868,1731.32
0.265089,131.576,1766.44
0.251815,121.519,2275.12
0.246798,116.045,2863.36
0.250279,118.817,2384.86
0.256214,123.339,2014.7
0.256204,123.333,2014.81
0.263072,128.34,1805.31
0.330401,177.591,1351.24
0.395216,229.181,1104.04
0.395186,229.16,1103.81
0.427098,264.883,690.237
0.447769,291.275,547.715
0.447783,291.287,547.668
0.521487,400.259,373.307
0.541715,433.669,352.457
0.559417,463.996,337.364
0.596976,531.443,311.595
0.601142,539.18,309.134
0.60114,539.176,309.142
0.601148,539.179,309.15
0.601136,539.179,309.15
0.61625,567.574,300.696
0.638509,610.495,289.538
0.676153,685.89,273.387
0.679368,692.469,272.137
