event_id,num_trajectory,num_hits,energies,hitx,hity,hitz
0,21,11,0.026822|0.017306|0.006796|0.029044|0.033482|0.004752|0.001550|0.004380|0.001720|0.001879|0.001445|,-28.509056|-46.917977|-55.834178|-93.134110|-162.299699|-93.324731|-93.257105|-56.025872|-56.093936|-46.972066|-28.461877|,395.769159|535.890872|593.908124|797.071282|1083.916421|797.156093|797.139597|594.151194|594.097177|535.834671|395.788012|,86.543545|117.358912|130.158205|175.207140|239.546701|175.445824|175.470332|129.912254|129.909942|117.424634|86.586354|
1,16,24,0.044121|0.003049|0.021669|0.017112|0.005972|0.015050|0.011789|0.014623|0.002692|0.001762|0.002918|0.003852|0.004174|0.003515|0.004252|0.003082|0.003146|0.004458|0.004852|0.001093|0.004361|0.001301|0.002839|0.001141|,434.157804|458.806316|586.779870|696.172077|730.715314|850.273085|916.287890|1017.533290|916.326644|850.341558|731.224141|731.055629|731.059306|731.098972|695.992812|696.127108|696.120795|696.005410|696.231453|696.167928|586.725994|586.714368|458.819842|434.167601|,134.360086|143.643789|194.865776|242.779987|258.728446|317.070114|351.436978|407.237036|351.348438|317.071533|258.816034|259.084082|259.034742|258.895051|242.975108|242.805134|242.912501|242.931897|242.937509|242.810995|194.644591|194.698785|143.749307|134.385494|,274.154424|290.035072|373.156850|445.166789|468.112792|548.338360|593.225953|662.943051|593.388708|548.277031|468.593354|469.323248|469.464531|469.209767|442.626906|440.771423|438.772273|437.977976|437.598829|440.779026|373.573419|373.574295|289.857911|274.118191|
2,22,27,0.009313|0.000273|0.000353|0.053888|0.020700|0.014971|0.005026|0.031250|0.002847|0.003404|0.004050|0.001073|0.004937|0.001480|0.004009|0.001657|0.001434|0.003174|0.002653|0.000926|0.000281|0.002691|0.005415|0.002031|0.001473|0.001271|0.001468|,-151.774114|-156.367190|-159.419022|-409.646965|-504.661870|-570.709480|-605.000457|-812.010023|-604.762426|-604.519296|-604.883350|-605.217212|-605.157349|-605.173789|-605.135000|-570.725611|-504.649567|-409.632972|-159.455788|-156.084668|-156.303610|-156.465438|-156.442275|-156.400856|-156.279230|-156.054090|-151.821105|,173.237225|178.161173|181.423509|424.966654|506.465896|560.013229|586.857540|736.108499|586.830470|586.354326|586.647191|586.989694|587.218663|587.161857|586.724545|560.084958|506.529388|424.754638|181.261526|177.877073|178.288673|178.148222|178.220032|178.245409|178.241208|177.842594|173.206259|,-168.818409|-173.752935|-177.026384|-432.988643|-524.736269|-587.069018|-618.995754|-806.135462|-617.193924|-617.145826|-618.619789|-618.689330|-618.626210|-618.661346|-618.753589|-587.031686|-524.730524|-432.929832|-176.985573|-174.148126|-174.379280|-174.079106|-174.430213|-174.321731|-174.422166|-174.175700|-168.780364|
3,17,0,,,,
4,43,52,0.007232|0.002535|0.004073|0.044130|0.014927|0.004371|0.000703|0.000240|0.003785|0.005913|0.001042|0.001861|0.011385|0.001242|0.002644|0.001188|0.001057|0.001069|0.001208|0.004711|0.010139|0.005973|0.007710|0.002617|0.008657|0.002330|0.003556|0.001855|0.002434|0.004455|0.003203|0.004930|0.002799|0.004965|0.000227|0.002370|0.003459|0.003656|0.001459|0.001013|0.002213|0.003735|0.004781|0.001590|0.003521|0.002543|0.003393|0.003291|0.001226|0.003065|0.001719|0.002197|,-202.719942|-225.056200|-263.236987|-621.861929|-727.475781|-772.753049|-778.386133|-783.601000|-827.129528|-867.577496|-875.065358|-896.335900|-958.525672|-896.341110|-875.094869|-867.593454|-827.150289|-783.588131|-778.355252|-772.966367|-727.535451|-727.562293|-726.837413|-727.346550|-727.343358|-726.854783|-726.779605|-726.603896|-727.372968|-727.034022|-727.032263|-726.708853|-726.691684|-726.770969|-727.226331|-727.148084|-727.169977|-727.384687|-727.190222|-726.579645|-726.737764|-727.330182|-727.043237|-621.923121|-263.642076|-263.701721|-263.591365|-263.751996|-263.596248|-263.731939|-225.120788|-202.825649|,-88.681044|-99.161656|-117.412864|-310.573256|-375.454089|-404.465808|-408.126738|-411.526042|-440.288845|-467.646266|-472.778605|-487.475100|-531.455113|-487.471193|-472.789067|-467.634025|-440.271418|-411.540640|-408.152218|-404.685219|-375.496544|-375.536765|-375.835106|-375.127791|-376.035906|-376.164674|-375.421502|-375.927237|-376.027227|-375.773319|-376.074458|-375.869163|-375.904469|-375.908346|-376.020153|-375.913601|-376.018272|-376.055203|-376.003784|-375.929390|-376.213743|-375.168102|-375.179956|-310.534638|-117.809333|-117.711198|-117.592300|-117.752925|-117.602797|-117.558404|-99.115853|-88.634417|,-8.151815|-9.061629|-10.621982|-25.637185|-30.186991|-32.154209|-32.400007|-32.627610|-34.535684|-36.321007|-36.652453|-37.596992|-40.377249|-37.648948|-36.465972|-36.365223|-34.565077|-32.591744|-32.429083|-32.143414|-64.386792|-83.555449|-102.441735|-107.892082|-115.784280|-113.056305|-112.211137|-112.188583|-112.517106|-113.544199|-115.836775|-116.784791|-117.081650|-117.649347|-112.486441|-111.670193|-112.144979|-112.325407|-112.541523|-112.216859|-113.028578|-108.576071|-108.766774|-25.663224|-11.308134|-12.415993|-13.110643|-13.081842|-13.160588|-12.579658|-9.098755|-8.092581|
5,31,41,0.001819|0.016653|0.008722|0.003288|0.081068|0.002208|0.002888|0.017399|0.008442|0.007155|0.008758|0.010742|0.012585|0.000497|0.002931|0.006256|0.004580|0.002562|0.004094|0.004841|0.002793|0.006202|0.003363|0.004196|0.002853|0.003067|0.001095|0.003707|0.001262|0.001159|0.001633|0.002375|0.001909|0.001473|0.001349|0.001566|0.001063|0.001048|0.001698|0.001063|0.004835|,132.021182|220.401506|273.170801|291.773778|667.938621|678.772426|688.912378|680.471756|683.919604|679.930811|679.554170|678.543242|679.850309|680.481322|679.427913|678.207141|678.285227|678.806154|678.904609|678.771133|679.068375|679.094763|678.560606|678.749893|678.754851|678.665488|678.750433|678.603490|678.791550|678.247686|679.417651|680.487206|679.624290|679.939927|683.930358|680.458736|667.906576|291.805517|273.099412|220.400357|131.990634|,132.520694|227.886590|287.634282|309.226645|818.913811|836.139534|852.417583|835.240083|832.044080|831.598540|827.876354|820.766620|817.925669|818.975057|817.548504|817.315090|815.351445|815.523056|815.467488|815.016801|815.215278|815.308653|815.111677|814.865200|815.073573|814.964051|815.033179|815.292545|815.558096|815.374833|817.485030|818.938467|827.809277|831.600621|832.057533|835.279689|818.915606|309.222349|287.667485|227.903391|132.340898|,-67.943416|-115.153756|-144.103712|-154.452688|-384.689267|-392.077872|-399.042468|-395.694712|-398.523848|-404.313898|-413.589975|-414.492233|-412.262522|-411.785387|-411.597673|-405.137150|-401.843993|-401.114820|-397.878108|-392.633932|-388.584806|-387.021459|-385.976014|-385.725130|-385.151496|-384.970164|-385.162276|-385.732410|-401.152274|-401.831007|-411.646894|-411.633341|-413.624986|-404.382855|-398.466359|-395.758819|-384.713604|-154.429913|-144.069977|-115.116929|-68.392812|
6,19,16,0.004976|0.069217|0.008248|0.005504|0.001810|0.018332|0.006309|0.001046|0.003671|0.001714|0.002383|0.001238|0.002725|0.004101|0.004425|0.001218|,-209.997566|-813.171731|-868.255137|-930.905727|-948.765258|-1088.584591|-948.776250|-948.762918|-931.156721|-931.088473|-868.246991|-813.169587|-210.033387|-210.012163|-210.185778|-210.027233|,44.975245|119.473268|122.333112|124.796536|125.345593|127.277606|125.271879|125.305201|124.649697|124.605770|122.307664|119.455756|44.887783|44.921847|44.717536|44.853145|,-3.806468|-14.526709|-15.502461|-16.615465|-16.933664|-19.426717|-16.324879|-16.309265|-16.532723|-16.563652|-15.346856|-14.477783|-5.012930|-5.898814|-6.111857|-5.048852|
7,24,21,0.059490|0.021320|0.005537|0.016163|0.008905|0.005284|0.004230|0.004679|0.005775|0.004349|0.003900|0.002095|0.001769|0.003215|0.003349|0.003512|0.002637|0.001191|0.001614|0.003801|0.002752|,508.901398|663.649103|707.472714|858.994072|917.862790|859.118932|707.504608|663.908850|663.310141|663.836759|663.758666|663.439820|663.442689|663.777084|663.849442|663.946127|663.914264|663.842123|663.485418|508.906688|508.793465|,292.675873|400.198403|432.420156|550.297675|598.952334|550.541722|432.380741|400.187560|400.339780|400.416477|400.389245|400.787343|400.925955|400.571823|400.802269|400.592230|400.757644|400.785289|400.911515|292.821463|292.729233|,142.201023|187.816583|200.987178|247.475610|265.966938|247.729266|201.420225|182.028541|180.053475|177.921103|178.885790|179.058400|179.479508|179.992261|180.161504|180.060258|180.067156|180.206625|179.413079|142.791637|142.909754|
8,17,13,0.006562|0.042215|0.004494|0.007351|0.016297|0.023154|0.005171|0.002519|0.002247|0.001351|0.001036|0.001780|0.002431|,226.622253|597.469539|638.334263|705.753864|835.508260|1061.973990|1095.661642|1061.868358|835.507130|705.769438|638.330388|597.513434|226.682527|,-27.021216|-47.079590|-47.468107|-47.321065|-44.280401|-30.269290|-27.231708|-30.180530|-44.295680|-47.366789|-47.468000|-47.158330|-27.111258|,-29.474326|-77.440346|-82.725735|-91.443041|-108.233265|-137.607820|-141.985148|-137.691911|-108.375205|-91.477564|-82.764470|-77.458214|-29.587074|
9,21,18,0.012954|0.011366|0.001148|0.014199|0.001632|0.012275|0.000146|0.049234|0.002485|0.002114|0.006000|0.001684|0.001336|0.001417|0.001148|0.005007|0.001884|0.002818|,-250.172820|-350.648918|-367.478538|-467.364723|-477.227190|-599.120619|-599.546599|-986.871088|-599.555682|-599.526714|-599.522823|-599.540845|-599.576104|-477.230491|-467.359702|-367.673634|-350.647527|-250.249378|,148.757510|202.755600|211.493741|261.590693|266.376603|323.196664|323.387782|476.761423|323.418890|323.291525|323.319363|323.238031|323.262287|266.412454|261.619546|211.520900|202.655183|148.925168|,18.102545|25.189265|26.366834|33.303090|33.983386|42.330470|42.359460|68.224296|42.525881|41.958953|41.009990|40.998395|41.966898|33.929607|33.338223|26.821398|25.186054|18.126826|
