energies,initx,inity,initz,tot_dist,dEdx,beta_gamma
1995.7,-132.005,957.985,210.619,960.588,0.00019213,19.8631
1995.64,-565.395,921.476,482.818,1027.93,0.000192129,19.8625
1999.61,-821.332,104.038,-1149.13,1080.45,0.000192175,19.9001
0.071308,-709.225,100.588,-1112.83,1293.74,0.0284105,0.546412
1994.7,-396.046,-901.03,-595.664,1097.17,0.000192118,19.8536
0.807937,-281.636,-584.404,-1012.46,1844.6,0.00489148,2.3795
1994.47,-611.247,-675.479,80.0615,942.146,0.000192115,19.8515
1995.5,886.902,-204.968,397.049,1024.18,0.000192127,19.8612
1999.85,97.7673,450.949,637.416,1082.88,0.000192177,19.9024
1995.32,-169.551,-759.927,121.146,949.844,0.000192125,19.8595
1992.29,912.86,415.443,-724.695,1158.17,0.00019209,19.8308
1995.93,867.555,513.965,30.6014,938.961,0.000192132,19.8653
1999.8,-595.456,-550.586,1125.9,1079.85,0.000192177,19.9019
1995.98,-757.708,602.77,313.68,986.574,0.000192133,19.8657
1995.79,808.644,-266.168,-56.0343,940.591,0.000192131,19.8639
1995.68,840.521,-315.064,72.81,941.691,0.000192129,19.8629
1995.51,-241.731,409.07,-278.256,1088.64,0.000192127,19.8612
1974.3,-1040.95,195.089,-43.2267,939.393,0.000191881,19.6602
18.5642,-212.637,-8.0195,-9.23318,2803.12,0.000406248,37.3159
10.0876,-157.243,29.5747,-16.2701,2897.97,0.000632524,20.7169
0.403122,-72.4207,142.672,0.0828865,3844.78,0.00850604,inf
0.638336,-153.425,45.3974,-6.45393,3851.54,0.00591393,2.01466
0.849603,-153.657,44.6024,-5.48553,4910.07,0.00469621,inf
1995.79,403.322,904.627,-13.4918,938.605,0.000192131,19.8639
1994.78,-661.107,776.997,346.603,991.234,0.000192119,19.8544
1996,239.032,973.549,258.398,969.303,0.000192133,19.8659
1994.4,-838.272,685.174,425.273,1008.53,0.000192115,19.8508
1995.52,-115.618,1040.94,251.356,965.3,0.000192127,19.8613
1994.66,944.677,-451.535,749.834,1154.15,0.000192118,19.8532
1996.1,879.61,465.473,-86.2396,941.993,0.000192134,19.8668
1996.43,-1070.24,-192.213,1037.49,1294.07,0.000192138,19.87
1995.99,301.352,1037.29,-527.026,1044.54,0.000192133,19.8658
1995.53,-232.804,903.102,25.9818,938.884,0.000192128,19.8615
1994.16,-995.65,413.375,734.003,1135.54,0.000192112,19.8485
1995.11,1027.48,230.634,-39.1619,939.181,0.000192123,19.8575
1981.38,-938.272,-139.493,49.3221,939.841,0.000191964,19.7274
11.015,-172.457,-19.3956,15.797,1020.34,0.000591773,22.5336
