r1,r2
160,165
165,170
170,175
175,180
180,185
185,190
190,195
195,200
200,205
205,210
210,215
215,220
220,225
225,230
230,235
235,240
240,245
245,250
250,255
255,260
260,265
265,270
270,275
275,280
280,285
285,290
290,295
295,300
300,305
305,310
310,315
315,320
320,325
325,330
330,335
335,340
340,345
345,350
350,355
355,360
360,365
365,370
370,375
375,380
380,385
385,390
390,395
395,400
400,405
405,410
410,415
415,420
420,425
425,430
430,435
435,440
440,448.5
448.5,457
457,465.5
465.5,474
474,482.5
482.5,491
491,499.5
499.5,508
508,516.5
516.5,525
525,533.5
533.5,542
542,550.5
550.5,559
559,567.5
567.5,576
576,584.5
584.5,593
593,601.5
601.5,610
610,618.5
618.5,627
627,635.5
635.5,644
644,652.5
652.5,661
661,669.5
669.5,678
678,686.5
686.5,695
695,703.5
703.5,712
712,720.5
720.5,729
729,737.5
737.5,746
746,754.5
754.5,763
763,771.5
771.5,780
780,788.5
788.5,797
797,805.5
805.5,814
814,822.5
822.5,831
831,839.5
839.5,848
848,856.5
856.5,865
865,873.5
873.5,882
882,890.5
890.5,899
899,907.5
907.5,916
916,924.5
924.5,933
933,941.5
941.5,950
950,958.5
958.5,967
967,975.5
975.5,984
984,992.5
992.5,1001
1001,1009.5
1009.5,1018
1018,1026.5
1026.5,1035
1035,1043.5
1043.5,1052
1052,1060.5
1060.5,1069
1069,1077.5
1077.5,1086
1086,1094.5
