entry_x,entry_y,entry_z,exit_x,exit_y,exit_z,edep
-125.92,-121.528,-191.962,-129.419,-125.103,-197.447,0.000554028
-129.419,-125.103,-197.447,-132.912,-128.684,-202.931,0.00151702
-132.912,-128.684,-202.931,-136.399,-132.27,-208.416,0.000936222
-136.399,-132.27,-208.416,-139.88,-135.862,-213.901,0.000775473
-139.88,-135.862,-213.901,-143.356,-139.46,-219.387,0.000399696
-143.356,-139.46,-219.387,-146.826,-143.063,-224.872,0.000859534
-146.826,-143.063,-224.872,-150.291,-146.672,-230.358,0.000705111
-150.291,-146.672,-230.358,-153.749,-150.287,-235.844,0.00105562
-153.749,-150.287,-235.844,-157.203,-153.907,-241.33,0.000880169
-157.203,-153.907,-241.33,-160.65,-157.533,-246.816,0.0015196
-160.65,-157.533,-246.816,-164.092,-161.164,-252.303,0.000211788
-164.092,-161.164,-252.303,-167.528,-164.801,-257.789,0.0025426
-167.528,-164.801,-257.789,-170.959,-168.443,-263.276,0.000907742
-170.959,-168.443,-263.276,-174.383,-172.091,-268.763,0.000837437
-174.383,-172.091,-268.763,-177.803,-175.745,-274.251,0.00120703
-177.803,-175.745,-274.251,-181.216,-179.404,-279.738,0.00158491
-181.216,-179.404,-279.738,-184.624,-183.068,-285.226,0.000802389
-184.624,-183.068,-285.226,-188.026,-186.738,-290.714,0.000694322
-188.026,-186.738,-290.714,-191.423,-190.414,-296.202,0.000230582
-191.423,-190.414,-296.202,-194.814,-194.094,-301.69,0.000447255
-194.814,-194.094,-301.69,-198.199,-197.781,-307.178,0.000323047
-198.199,-197.781,-307.178,-201.578,-201.472,-312.666,0.000680859
-201.578,-201.472,-312.666,-204.952,-205.17,-318.155,0.000760465
-204.952,-205.17,-318.155,-208.32,-208.872,-323.643,0.000825211
-208.32,-208.872,-323.643,-211.682,-212.581,-329.132,0.000415017
-211.682,-212.581,-329.132,-215.039,-216.294,-334.621,0.00111592
-215.039,-216.294,-334.621,-218.39,-220.014,-340.11,0.000331917
-218.39,-220.014,-340.11,-221.734,-223.738,-345.599,0.000200018
-221.734,-223.738,-345.599,-225.073,-227.469,-351.088,0.000459271
-225.073,-227.469,-351.088,-228.406,-231.204,-356.577,0.00169536
-228.406,-231.204,-356.577,-231.734,-234.946,-362.067,0.000475043
-231.734,-234.946,-362.067,-235.055,-238.692,-367.557,0.000537105
-235.055,-238.692,-367.557,-238.371,-242.445,-373.047,0.00019922
-238.371,-242.445,-373.047,-241.68,-246.203,-378.537,0.000374947
-241.68,-246.203,-378.537,-244.984,-249.966,-384.028,0.000255585
-244.984,-249.966,-384.028,-248.282,-253.734,-389.518,0.000388739
-248.282,-253.734,-389.518,-251.574,-257.508,-395.009,0.000802114
-251.574,-257.508,-395.009,-254.86,-261.288,-400.501,0.000878007
-254.86,-261.288,-400.501,-258.141,-265.072,-405.992,0.000380404
-258.141,-265.072,-405.992,-261.416,-268.862,-411.484,0.000325142
-261.416,-268.862,-411.484,-264.684,-272.658,-416.976,0.000599668
-264.684,-272.658,-416.976,-267.947,-276.458,-422.468,0.000733646
-267.947,-276.458,-422.468,-271.204,-280.265,-427.96,0.000235552
-271.204,-280.265,-427.96,-274.455,-284.076,-433.453,0.000684381
-274.455,-284.076,-433.453,-277.701,-287.893,-438.945,0.00100315
-277.701,-287.893,-438.945,-280.94,-291.715,-444.438,0.000999947
-280.94,-291.715,-444.438,-284.174,-295.543,-449.931,0.00064301
-284.174,-295.543,-449.931,-287.401,-299.375,-455.425,0.00117352
-287.401,-299.375,-455.425,-290.623,-303.214,-460.919,0.000447964
-290.623,-303.214,-460.919,-293.838,-307.057,-466.413,0.000612873
-293.838,-307.057,-466.413,-297.048,-310.906,-471.908,0.00118029
