wire_label,csag,xsag,ysag,stretch
g1,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g2,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g3,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g4,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g5,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g6,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g7,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g8,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g9,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g10,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g11,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g12,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g13,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g14,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g15,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g16,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s1,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g17,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g18,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g19,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s2,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g20,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g21,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g22,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s3,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g23,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g24,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g25,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s4,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g26,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g27,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g28,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s5,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g29,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g30,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g31,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s6,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g32,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g33,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g34,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s7,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g35,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g36,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g37,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s8,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g38,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g39,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g40,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s10,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g44,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g45,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g46,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s11,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g47,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g48,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g49,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s12,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g50,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g51,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g52,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s13,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g53,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g54,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g55,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s14,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g56,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g57,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g58,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s15,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g59,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g60,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g61,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s16,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g62,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g63,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g64,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s17,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g65,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g66,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g67,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s19,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g71,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g72,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g73,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s20,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g74,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g75,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g76,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s21,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g77,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g78,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g79,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s22,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g80,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g81,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g82,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s23,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g83,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g84,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g85,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s24,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g86,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g87,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g88,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s25,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g89,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g90,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g91,0.000000|,-0.000000|,-0.009474|,2.39345e-08
s26,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g92,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g93,0.000000|,-0.000000|,-0.009474|,2.39345e-08
g94,0.000000|,-0.000000|,-0.009474|,2.39345e-08
