wire_label,csag,xsag,ysag,stretch
g1,0.000000|,0.104043|,-0.009474|,2.91056e-06
g2,0.000000|,0.085039|,0.025750|,2.10524e-06
g3,0.000000|,0.073569|,0.064095|,2.53883e-06
g4,0.000000|,0.035224|,0.075565|,1.85355e-06
g5,0.000000|,0.000000|,0.094569|,2.38486e-06
g6,0.000000|,-0.035224|,0.075565|,1.85355e-06
g7,0.000000|,-0.073569|,0.064095|,2.53883e-06
g8,0.000000|,-0.085039|,0.025750|,2.10524e-06
g9,0.000000|,-0.104043|,-0.009474|,2.91056e-06
g10,0.000000|,-0.085039|,-0.044698|,2.4612e-06
g11,0.000000|,-0.073569|,-0.083043|,3.28228e-06
g12,0.000000|,-0.035224|,-0.094513|,2.7129e-06
g13,0.000000|,-0.000000|,-0.113516|,3.43625e-06
g14,0.000000|,0.035224|,-0.094513|,2.7129e-06
g15,0.000000|,0.073569|,-0.083043|,3.28228e-06
g16,0.000000|,0.085039|,-0.044698|,2.4612e-06
s1,0.000000|,-0.107199|,-0.009474|,3.08833e-06
g17,0.000000|,-0.050231|,-0.030280|,9.17361e-07
g18,0.000000|,-0.102595|,-0.009474|,2.8308e-06
g19,0.000000|,0.091509|,0.028430|,2.44858e-06
s2,0.000000|,-0.075801|,-0.085275|,3.47133e-06
g20,0.000000|,-0.020807|,-0.059705|,1.06604e-06
g21,0.000000|,-0.072546|,-0.082020|,3.19736e-06
g22,0.000000|,0.037904|,0.082035|,2.17773e-06
s3,0.000000|,0.000000|,-0.116672|,3.62998e-06
g23,0.000000|,0.020807|,-0.059705|,1.06604e-06
g24,0.000000|,0.000000|,-0.112069|,3.34919e-06
g25,0.000000|,-0.037904|,0.082035|,2.17773e-06
s4,0.000000|,0.075801|,-0.085275|,3.47133e-06
g26,0.000000|,0.050231|,-0.030280|,9.17361e-07
g27,0.000000|,0.072546|,-0.082020|,3.19736e-06
g28,0.000000|,-0.091509|,0.028430|,2.44858e-06
s5,0.000000|,0.107199|,-0.009474|,3.08833e-06
g29,0.000000|,0.050231|,0.011333|,7.07102e-07
g30,0.000000|,0.102595|,-0.009474|,2.8308e-06
g31,0.000000|,-0.091509|,-0.047378|,2.83162e-06
s6,0.000000|,0.075801|,0.066327|,2.70534e-06
g32,0.000000|,0.020807|,0.040758|,5.58426e-07
g33,0.000000|,0.072546|,0.063072|,2.46425e-06
g34,0.000000|,-0.037904|,-0.100983|,3.10247e-06
s7,0.000000|,0.000000|,0.097725|,2.54669e-06
g35,0.000000|,-0.020807|,0.040758|,5.58426e-07
g36,0.000000|,0.000000|,0.093121|,2.31242e-06
g37,0.000000|,0.037904|,-0.100983|,3.10247e-06
s8,0.000000|,-0.075801|,0.066327|,2.70534e-06
g38,0.000000|,-0.050231|,0.011333|,7.07102e-07
g39,0.000000|,-0.072546|,0.063072|,2.46425e-06
g40,0.000000|,0.091509|,-0.047378|,2.83162e-06
s10,0.000000|,-0.000878|,-0.009838|,2.6014e-08
g44,0.000000|,-0.006675|,-0.009474|,3.58145e-08
g45,0.000000|,-0.151846|,-0.072371|,7.54523e-06
g46,0.000000|,0.141472|,-0.009474|,5.36108e-06
s11,0.000000|,-0.000364|,-0.010352|,2.86139e-08
g47,0.000000|,-0.004720|,-0.014194|,5.96617e-08
g48,0.000000|,-0.062897|,-0.161320|,7.99466e-06
g49,0.000000|,0.100036|,0.090562|,4.85563e-06
s12,0.000000|,0.000364|,-0.010352|,2.86139e-08
g50,0.000000|,0.000000|,-0.016148|,6.95396e-08
g51,0.000000|,0.062897|,-0.161320|,7.99466e-06
g52,0.000000|,0.000000|,0.131998|,4.64627e-06
s13,0.000000|,0.000878|,-0.009838|,2.6014e-08
g53,0.000000|,0.004720|,-0.014194|,5.96617e-08
g54,0.000000|,0.151846|,-0.072371|,7.54523e-06
g55,0.000000|,-0.100036|,0.090562|,4.85563e-06
s14,0.000000|,0.000878|,-0.009110|,2.23369e-08
g56,0.000000|,0.006675|,-0.009474|,3.58145e-08
g57,0.000000|,0.151846|,0.053423|,6.90964e-06
g58,0.000000|,-0.141472|,-0.009474|,5.36108e-06
s15,0.000000|,0.000364|,-0.008595|,1.97373e-08
g59,0.000000|,0.004720|,-0.004754|,1.19678e-08
g60,0.000000|,0.062897|,0.142372|,6.46021e-06
g61,0.000000|,-0.100036|,-0.109510|,5.86653e-06
s16,0.000000|,-0.000364|,-0.008595|,1.97372e-08
g62,0.000000|,0.000000|,-0.002799|,2.08975e-09
g63,0.000000|,-0.062897|,0.142372|,6.46021e-06
g64,0.000000|,-0.000000|,-0.150946|,6.0759e-06
s17,0.000000|,-0.000878|,-0.009110|,2.23369e-08
g65,0.000000|,-0.004720|,-0.004754|,1.19674e-08
g66,0.000000|,-0.151846|,0.053423|,6.90964e-06
g67,0.000000|,0.100036|,-0.109510|,5.86653e-06
s19,0.000000|,0.087113|,-0.009474|,2.04757e-06
g71,0.000000|,-0.020017|,-0.017765|,1.91003e-07
g72,0.000000|,-0.142647|,-0.009474|,5.4501e-06
g73,0.000000|,-0.007604|,-0.012624|,5.79154e-08
s20,0.000000|,0.061598|,0.052124|,1.73633e-06
g74,0.000000|,-0.008291|,-0.029490|,2.50249e-07
g75,0.000000|,-0.100867|,-0.110341|,5.95974e-06
g76,0.000000|,-0.003150|,-0.017078|,8.04227e-08
s21,0.000000|,-0.000000|,0.077639|,1.60741e-06
g77,0.000000|,0.008291|,-0.029490|,2.50249e-07
g78,0.000000|,-0.000000|,-0.152121|,6.17085e-06
g79,0.000000|,0.003150|,-0.017078|,8.04227e-08
s22,0.000000|,-0.061598|,0.052124|,1.73633e-06
g80,0.000000|,0.020017|,-0.017765|,1.91003e-07
g81,0.000000|,0.100867|,-0.110341|,5.95974e-06
g82,0.000000|,0.007604|,-0.012624|,5.79154e-08
s23,0.000000|,-0.087113|,-0.009474|,2.04757e-06
g83,0.000000|,0.020017|,-0.001183|,1.07217e-07
g84,0.000000|,0.142647|,-0.009474|,5.4501e-06
g85,0.000000|,0.007604|,-0.006324|,2.60852e-08
s24,0.000000|,-0.061598|,-0.071072|,2.3588e-06
g86,0.000000|,0.008291|,0.010543|,4.79715e-08
g87,0.000000|,0.100867|,0.091393|,4.94045e-06
g88,0.000000|,0.003150|,-0.001870|,3.57762e-09
s25,0.000000|,0.000000|,-0.096587|,2.48772e-06
g89,0.000000|,-0.008291|,0.010543|,4.79715e-08
g90,0.000000|,0.000000|,0.133173|,4.72935e-06
g91,0.000000|,-0.003150|,-0.001870|,3.57762e-09
s26,0.000000|,0.061598|,-0.071072|,2.3588e-06
g92,0.000000|,-0.020017|,-0.001183|,1.07217e-07
g93,0.000000|,-0.100867|,0.091393|,4.94045e-06
g94,0.000000|,-0.007604|,-0.006324|,2.60852e-08
