wire_label,csag,xsag,ysag,stretch
g4,0.000000|,-0.000000|,-0.066240|,2.92517e-07
s1,0.000000|,3.298161|,3.222370|,0.00141563
g9,0.000000|,-0.046839|,-0.095780|,7.57843e-07
s2,0.000000|,0.000000|,0.302158|,6.0866e-06
g10,0.000000|,0.046839|,-0.095780|,7.57843e-07
s3,0.000000|,-3.298161|,3.222370|,0.00141563
g13,0.000000|,-0.048411|,-0.094208|,7.47914e-07
g14,0.000000|,-0.024146|,-0.071516|,3.79834e-07
g15,0.000000|,-0.000000|,-0.068086|,3.09043e-07
g16,0.000000|,0.024146|,-0.071516|,3.79834e-07
g17,0.000000|,0.048411|,-0.094208|,7.47914e-07
g19,0.000000|,-0.018871|,-0.047369|,1.73331e-07
s4,0.000000|,0.377949|,-0.075791|,9.90589e-06
g20,0.000000|,-0.020716|,-0.047369|,1.78201e-07
s5,0.000000|,0.000000|,-0.075791|,3.82951e-07
g21,0.000000|,0.020716|,-0.047369|,1.78201e-07
s6,0.000000|,-0.377949|,-0.075791|,9.90589e-06
g22,0.000000|,0.018871|,-0.047369|,1.73331e-07
g24,0.000000|,-0.048411|,-0.000531|,1.56258e-07
g25,0.000000|,-0.024146|,-0.023223|,7.48235e-08
g26,0.000000|,-0.000000|,-0.026653|,4.7359e-08
g27,0.000000|,0.024146|,-0.023223|,7.48235e-08
g28,0.000000|,0.048411|,-0.000531|,1.56258e-07
s7,0.000000|,3.298161|,-3.373952|,0.00148212
g31,0.000000|,-0.046839|,0.001041|,1.46329e-07
s8,0.000000|,0.000000|,-0.453740|,1.37252e-05
g32,0.000000|,0.046839|,0.001041|,1.46329e-07
s9,0.000000|,-3.298161|,-3.373952|,0.00148212
g37,0.000000|,-0.000000|,-0.028498|,5.41444e-08
