wire_label,csag,xsag,ysag,stretch
g4,0.000000|,-0.000000|,-0.023685|,3.73975e-08
s1,0.000000|,-0.000000|,-0.037895|,9.57378e-08
g9,0.000000|,-0.000000|,-0.023685|,3.73975e-08
s2,0.000000|,-0.000000|,-0.037895|,9.57378e-08
g10,0.000000|,-0.000000|,-0.023685|,3.73975e-08
s3,0.000000|,-0.000000|,-0.037895|,9.57378e-08
g13,0.000000|,-0.000000|,-0.023685|,3.73975e-08
g14,0.000000|,-0.000000|,-0.023685|,3.73975e-08
g15,0.000000|,-0.000000|,-0.023685|,3.73975e-08
g16,0.000000|,-0.000000|,-0.023685|,3.73975e-08
g17,0.000000|,-0.000000|,-0.023685|,3.73975e-08
g19,0.000000|,-0.000000|,-0.023685|,3.73975e-08
s4,0.000000|,-0.000000|,-0.037895|,9.57378e-08
g20,0.000000|,-0.000000|,-0.023685|,3.73975e-08
s5,0.000000|,-0.000000|,-0.037895|,9.57378e-08
g21,0.000000|,-0.000000|,-0.023685|,3.73975e-08
s6,0.000000|,-0.000000|,-0.037895|,9.57378e-08
g22,0.000000|,-0.000000|,-0.023685|,3.73975e-08
g24,0.000000|,-0.000000|,-0.023685|,3.73975e-08
g25,0.000000|,-0.000000|,-0.023685|,3.73975e-08
g26,0.000000|,-0.000000|,-0.023685|,3.73975e-08
g27,0.000000|,-0.000000|,-0.023685|,3.73975e-08
g28,0.000000|,-0.000000|,-0.023685|,3.73975e-08
s7,0.000000|,-0.000000|,-0.037895|,9.57378e-08
g31,0.000000|,-0.000000|,-0.023685|,3.73975e-08
s8,0.000000|,-0.000000|,-0.037895|,9.57378e-08
g32,0.000000|,-0.000000|,-0.023685|,3.73975e-08
s9,0.000000|,-0.000000|,-0.037895|,9.57378e-08
g37,0.000000|,-0.000000|,-0.023685|,3.73975e-08
