wire_label,csag,xsag,ysag,stretch
g4,0.000000|,-0.000000|,-0.033120|,7.31294e-08
s1,0.000000|,1.649081|,1.611185|,0.000354246
g9,0.000000|,-0.023419|,-0.047890|,1.89461e-07
s2,0.000000|,0.000000|,0.151079|,1.52166e-06
g10,0.000000|,0.023419|,-0.047890|,1.89461e-07
s3,0.000000|,-1.649081|,1.611185|,0.000354246
g13,0.000000|,-0.024205|,-0.047104|,1.86979e-07
g14,0.000000|,-0.012073|,-0.035758|,9.49586e-08
g15,0.000000|,-0.000000|,-0.034043|,7.72608e-08
g16,0.000000|,0.012073|,-0.035758|,9.49586e-08
g17,0.000000|,0.024205|,-0.047104|,1.86979e-07
g19,0.000000|,-0.009435|,-0.023685|,4.33328e-08
s4,0.000000|,0.188975|,-0.037895|,2.47649e-06
g20,0.000000|,-0.010358|,-0.023685|,4.45502e-08
s5,0.000000|,0.000000|,-0.037895|,9.57378e-08
g21,0.000000|,0.010358|,-0.023685|,4.45502e-08
s6,0.000000|,-0.188975|,-0.037895|,2.47649e-06
g22,0.000000|,0.009435|,-0.023685|,4.33328e-08
g24,0.000000|,-0.024205|,-0.000265|,3.90645e-08
g25,0.000000|,-0.012073|,-0.011612|,1.87058e-08
g26,0.000000|,-0.000000|,-0.013327|,1.18397e-08
g27,0.000000|,0.012073|,-0.011612|,1.87058e-08
g28,0.000000|,0.024205|,-0.000265|,3.90645e-08
s7,0.000000|,1.649081|,-1.686976|,0.0003709
g31,0.000000|,-0.023419|,0.000521|,3.65822e-08
s8,0.000000|,0.000000|,-0.226870|,3.43132e-06
g32,0.000000|,0.023419|,0.000521|,3.65822e-08
s9,0.000000|,-1.649081|,-1.686976|,0.0003709
g37,0.000000|,-0.000000|,-0.014249|,1.35361e-08
